COUNTRY_SHORT_NAME,COUNTRY_ALPHA_3_CODE,lat,lng,pop
Afghanistan,AFG,34.023,65.5267,38041757
Albania,ALB,40.654,20.076,2880913
Algeria,DZA,28.6045,2.64,43053054
Andorra,AND,42.5425,1.5893,77146
Angola,AGO,-12.836,17.808,31825299
Anguilla,AIA,18.2177,-63.0406,14872
Antigua and Barbuda,ATG,17.625,-61.786,97115
Argentina,ARG,-33.166,-64.31,44780675
Armenia,ARM,40.56,44.449,2957728
Aruba,ABW,12.5176,-69.9818,106310
Australia,AUS,-35.5,149,428100
Australia,AUS,-33,146,8118000
Australia,AUS,-20,134,245600
Australia,AUS,-20,145,5115500
Australia,AUS,-30,135,1756500
Australia,AUS,-42,147,535500
Australia,AUS,-37,145,6629900
Australia,AUS,-25,122,2630600
Austria,AUT,47.65,14.705,8955108
Azerbaijan,AZE,40.46,47.883,10047719
Bahamas,BHS,24.7032,-78.0455,389486
Bahrain,BHR,26.025,50.5534,1641164
Bangladesh,BGD,24.598,90.1963,163046173
Barbados,BRB,13.1898,-59.559,287021
Belarus,BLR,53.3292,27.9492,9452409
Belgium,BEL,50.6745,4.4588,11539326
Belize,BLZ,17.108,-88.744,390351
Benin,BEN,10.478,2.274,11801151
Bermuda,BMU,32.3019,-64.7737,62508
Bhutan,BTN,27.5342,90.3002,763094
Bolivia,BOL,-16.71,-65.183,11513102
"Bonaire, Sint Eustatius and Saba",BES,12.1671,-68.2465,25983
Bosnia and Herzegovina,BIH,44.342,17.804,3300998
Botswana,BWA,-22.126,23.662,2303703
Brazil,BRA,-11.694,-48.978,211049519
British Virgin Islands,VGB,18.4204,-64.64,30033
Brunei,BRN,4.452,114.557,433296
Bulgaria,BGR,42.625,24.521,7000117
Burkina Faso,BFA,12.673,-1.226,20321383
Burma,BUR,21.841,96.05,54045422
Burundi,BDI,-3.333,29.749,11530577
Cabo Verde,CPV,15.416,-23.36,549936
Cambodia,KHM,12.69,104.444,16486542
Cameroon,CMR,4.4,12.131,25876387
Canada,CAN,53.41,-114.42,4413146
Canada,CAN,54.9464,-125.1024,5110917
Canada,CAN,55.0085,-97.1771,1377517
Canada,CAN,46.57,-66.41,779993
Canada,CAN,53.63,-61.37,521365
Canada,CAN,64.45,-120.2,44904
Canada,CAN,45,-63.58,977457
Canada,CAN,64.02,-96.38,38780
Canada,CAN,50.94,-84.75,14711827
Canada,CAN,46.32,-63.19,158158
Canada,CAN,53.02,-72.58,8537674
Canada,CAN,54.49,-105.68,1181666
Canada,CAN,62.86,-135.76,41078
Cayman Islands,CYM,19.3299,-81.1715,64948
Central African Republic,CAF,7.043,21.424,4745179
Chad,TCD,15.981,18.781,15946882
Channel Islands,GBR,49.4632,-2.5827,172264
Chile,CHL,-23.176,-69.201,18952035
China,CHN,32.061,117.1516,63240000
China,CHN,40.2554,116.6397,21540000
China,CHN,30.2037,107.8789,31020000
China,CHN,25.9843,118.035,39410000
China,CHN,37.8668,102.2829,26370000
China,CHN,22.8962,112.4196,113460000
China,CHN,23.9155,108.9991,49260000
China,CHN,26.9463,106.6586,36000000
China,CHN,19.1638,109.6305,9340000
China,CHN,39.4094,115.652,75560000
China,CHN,48.7465,127.6013,37730000
China,CHN,33.9126,113.0925,96050000
China,CHN,22.3193,114.1694,7496988
China,CHN,31.1761,112.8612,59170000
China,CHN,27.4176,111.3884,68990000
China,CHN,45.9377,119.0298,25340000
China,CHN,32.9714,119.5828,80510000
China,CHN,27.3189,115.4924,46480000
China,CHN,43.6442,126.1692,27040000
China,CHN,41.1486,122.451,43590000
China,CHN,22.1987,113.5439,649342
China,CHN,37.3426,105.986,6880000
China,CHN,35.4964,96.1052,6030000
China,CHN,35.7434,109.5496,38640000
China,CHN,36.3464,118.0429,100470000
China,CHN,31.1015,121.3701,24240000
China,CHN,37.7257,112.3455,37180000
China,CHN,30.2696,102.2976,83410000
China,CHN,39.4079,117.3391,15600000
China,CHN,32.0101,87.0364,3440000
China,CHN,42.1974,88.1541,24870000
China,CHN,25.2644,101.3868,48300000
China,CHN,29.1938,119.7808,57370000
Colombia,COL,3.794,-73.606,50339443
Comoros,COM,-11.6527,43.3307,850891
Congo (Brazzaville),COG,0.509,16.08,5380504
Congo (Kinshasa),COD,-1.418,23.607,86790568
Costa Rica,CRI,10.126,-84.075,5047561
Cote d'Ivoire,CIV,7.497,-5.336,25716554
Croatia,HRV,45.754,16.385,4130299
Cuba,CUB,20.571,-76.456,11333484
Curacao,CUW,12.2129,-69.0407,163423
Cyprus,CYP,34.894,32.928,1198574
Czechia,CZE,49.848,15.2812,10689213
Denmark,DNK,56.113,9.096,5771877
Djibouti,DJI,11.41,42.165,973557
Dominica,DMA,15.4238,-61.3411,71808
Dominican Republic,DOM,19.01,-70.1685,10738957
Ecuador,ECU,-1.151,-78.308,17373657
Egypt,EGY,26.16,28.742,100388076
El Salvador,SLV,13.848,-89.229,6453550
Equatorial Guinea,GNQ,1.6342,10.4695,1355982
Eritrea,ERI,15.982,38.02,3497117
Estonia,EST,58.777,25.977,1325649
Eswatini,SWZ,-26.5203,31.4607,1148133
Ethiopia,ETH,8.435,38.786,112078727
Falkland Islands (Malvinas),FLK,-51.663,-58.685,3372
Faroe Islands,FRO,62.1252,-7.0174,48677
Fiji,FJI,-17.7941,177.9783,889955
Finland,FIN,62.716,26.192,5532159
France,FRA,46.656,2.543,65129731
French Guiana,GUF,3.9351,-53.0359,290823
French Polynesia,PYF,-17.529,-149.53,279285
Gabon,GAB,-0.406,11.914,2172578
Gambia,GMB,13.499,-14.641,2347696
Georgia,GEO,42.05,43.576,3996762
Germany,DEU,51.3819,9.9877,83517046
Ghana,GHA,7.258,-1.062,30417858
Gibraltar,GIB,36.134,-5.3482,33706
Greece,GRC,39.787,21.617,10473452
Greenland,GRL,71,-39,56660
Grenada,GRD,12.111,-61.6867,112002
Guadeloupe,GLP,16.2495,-61.5527,400048
Guatemala,GTM,15.124,-90.711,17581476
Guinea,GIN,10.599,-10.907,12771246
Guinea-Bissau,GNB,12.191,-14.475,1920917
Guyana,GUY,5.17,-58.939,782775
Haiti,HTI,19.3175,-72.4205,11263079
Holy See,VAT,41.9038,12.4532,815
Honduras,HND,14.881,-87.123,9746115
Hungary,HUN,47.174,19.618,9684680
Iceland,ISL,64.826,-18.417,339037
India,IND,22.741,78.236,1366417756
Indonesia,IDN,-0.739,114.045,270625567
Iran,IRN,33.408,54.0418,82913893
Iraq,IRQ,33.545,43.278,39309789
Ireland,IRL,53.214,-7.588,4882498
Isle of Man,IMN,54.2362,-4.5149,84589
Israel,ISR,30.992,34.834,8519373
Italy,ITA,44.3713,11.1084,60550092
Jamaica,JAM,18.163,-77.477,2948277
Japan,JPN,35.962,137.855,126860299
Jordan,JOR,30.681,36.279,10101697
Kazakhstan,KAZ,48.866,69.772,18551428
Kenya,KEN,0.806,38.166,52573967
"Korea, South",KOR,36.338,128.16,51225321
Kosovo,XKX,42.546,20.921,0
Kuwait,KWT,29.3169,47.4272,4207077
Kyrgyzstan,KGZ,41.741,75.043,6415851
Laos,LAO,19.595,102.538,7169456
Latvia,LVA,57.017,25.0173,1906740
Lebanon,LBN,34.161,36.021,6855709
Lesotho,LSO,-29.446,28.371,2125267
Liberia,LBR,6.51,-9.33,4937374
Libya,LBY,27.24,17.571,6777453
Liechtenstein,LIE,47.1593,9.547,38020
Lithuania,LTU,55.342,24.23,2759631
Luxembourg,LUX,49.671,6.113,615730
Madagascar,MDG,-19.615,46.645,26969306
Malawi,MWI,-13.2731,33.7428,18628749
Malaysia,MYS,4.416,102.099,31949789
Maldives,MDV,4.221,73.463,530957
Mali,MLI,18.211,-2.209,19658023
Malta,MLT,35.9024,14.4137,440377
Marshall Islands,MHL,5.961,169.651,58791
Martinique,MTQ,14.6366,-61.0154,375557
Mauritania,MRT,19.413,-10.6528,4525698
Mauritius,MUS,-20.2529,57.5902,1269670
Mayotte,MYT,-12.8252,45.1494,266153
Mexico,MEX,22.925,-101.68,127575529
Moldova,MDA,47.524,28.444,4043258
Monaco,MCO,43.7384,7.4243,38967
Mongolia,MNG,46.516,102.564,3225166
Montenegro,MNE,42.857,19.096,627988
Montserrat,MSR,16.7492,-62.1928,4991
Morocco,MAR,31.129,-7.355,36471766
Mozambique,MOZ,-13.852,38.042,30366043
Namibia,NAM,-21.276,17.219,2494524
Nepal,NPL,28.2114,83.5608,28608715
Netherlands,NLD,52.1704,5.0102,17097123
New Caledonia,NCL,-21.02,165.062,282757
New Zealand,NZL,-42.558,172.377,4783062
Nicaragua,NIC,12.692,-85.03,6545503
Niger,NER,16.996,9.915,23310719
Nigeria,NGA,9.3417,7.678,200963603
North Macedonia,MKD,41.636,21.676,2083458
Norway,NOR,61.3701,9.3031,5378859
Oman,OMN,19.85,56.25,4974992
Pakistan,PAK,28.1854,66.6429,216565317
Panama,PAN,8.348,-81.005,4246440
Papua New Guinea,PNG,-5.636,142.798,8776119
Paraguay,PRY,-23.266,-58.409,7044639
Peru,PER,-12.664,-72.98,32510462
Philippines,PHL,17.181,121.256,108116622
Poland,POL,52.442,19.72,37887771
Portugal,PRT,40.957,-7.9373,10226178
Qatar,QAT,25.3174,51.1522,2832071
Reunion,REU,-21.1313,55.537,888932
Romania,ROU,45.933,25.119,19364558
Russia,RUS,64.736,104.062,145872260
Rwanda,RWA,-1.887,29.904,12626938
Saint Barthelemy,BLM,17.9036,-62.8117,9853
Saint Kitts and Nevis,KNA,17.147,-62.58,52834
Saint Lucia,LCA,13.909,-60.9776,182795
Saint Pierre and Miquelon,SPM,46.9642,-56.3267,5821
Saint Vincent and the Grenadines,VCT,13.2528,-61.1949,110593
Samoa,WSM,-13.6221,-172.439,55312
San Marino,SMR,43.942,12.4611,33864
Sao Tome and Principe,STP,0.216,6.595,215048
Saudi Arabia,SAU,24.191,44.32,34268529
Senegal,SEN,15.044,-15.081,16296362
Serbia,SRB,44.021,20.699,8772228
Seychelles,SYC,-4.6841,55.4924,97741
Sierra Leone,SLE,8.677,-11.779,7813207
Singapore,SGP,1.3389,103.8297,5804343
Sint Maarten,SXM,18.034,-63.0544,42389
Slovakia,SVK,48.8595,19.4434,5457012
Slovenia,SVN,46.037,14.534,2078654
Solomon Islands,SLB,-9.5987,160.1487,669821
Somalia,SOM,2.875,43.446,15442906
South Africa,ZAF,-31.7,23.441,58558267
South Sudan,SSD,7.1,30.48,11062114
Spain,ESP,40.617,-3.388,46736782
Sri Lanka,LKA,7.3,80.727,21323734
St Martin,MAF,18.0848,-63.0507,38002
Sudan,SDN,15.739,29.533,42813237
Suriname,SUR,4.248,-55.848,581363
Sweden,SWE,66.2188,19,10036391
Switzerland,CHE,46.7794,8.0329,8591361
Syria,SYR,35.303,38.322,17070132
Taiwan*,TWN,23.6091,120.8353,23773881
